username,text,timestamp,has_images,number_of_images,replies,retweets,likes,has_video
Elon Musk,So many government agencies exist that even the government doesn’t know how many there are!,2024-10-21T14:59:13.000Z,False,0,3.2K,7.4K,28K,False
SAY CHEESE!,"Diddy accused of r*ping 7 more victims, including a 13-year-old girl who was drugged with 2 other celebrities at a VMA after party, in new lawsuits after 120 people came forward",2024-10-21T15:18:34.000Z,True,1,477,853,5.7K,False
Ash,Name a Keanu Reeves role that is not John Wick...,2024-10-20T22:05:19.000Z,True,1,1.3K,156,907,False
Savanah Hernandez,Pittsburgh- Antonio Brown is currently outside of the Steelers stadium wearing a dark MAGA hat and throwing out rally towels reading “Trump/Vance” ahead of tonight’s game,2024-10-20T20:32:47.000Z,True,1,253,5.4K,32K,True
Shadow of Ezra,"In Georgia, reports have surfaced that voting polls are being set up behind closed doors, with the public blocked from observing the process. 

A concerned resident confronted the sheriff, pointing out that Georgia law requires polls to be set up openly, allowing any citizen the",2024-10-21T12:24:46.000Z,True,1,265,2.3K,3.2K,True
HARDEST FIT PICS,"Lil Baby in Full Louis Vuitton, 2024",2024-10-21T02:06:26.000Z,True,1,1,54,1K,False
LeBron James,"Cleveland Fans! Yall know how much we’ve been thru throughout the years both good, bad and indifferent. With that being said booing anyone that’s down with an injury let alone your own player is LAME AF!!  To the ones who didn’t ",2024-10-21T03:46:25.000Z,False,0,3.1K,5.3K,37K,False
Laurence Tribe,"“To anyone paying attention, it is clear that Trump is not in any shape to manage the government of the United States of America. He is canceling interviews and botching the ones he does sit for, while falling asleep at events where he is not actually speaking. He lies",2024-10-21T10:39:58.000Z,False,0,393,3.5K,7.8K,False
MLFootball,"BREAKING: Davante Adams plans to request a trade from the #Jets before the #NFL trade deadline in two weeks from now.

Wow.",2024-10-21T03:27:57.000Z,True,1,648,1K,34K,False
Andrew McCarthy,"When Venus is at inferior conjunction, it can form a “ring” as the light scatters around it. I photographed this event in 2022, despite being only a few degrees away from the sun. This is something that can be dangerous to observe visually, so great care was taken when capturing.",2024-10-21T02:09:22.000Z,True,1,47,182,1.9K,False
PoliticsVideoChannel,BREAKING: Tesla Sales Plummet as Democrats Stop Buying the Electric Cars Due to Elon Musk,2024-10-21T07:07:30.000Z,True,1,363,1.2K,4.9K,False
